Country,discipline,Time_Interval,Papers
Algeria,Mathematics,1993-1997,42.66666666666664
Algeria,Mathematics,1998-2002,96.16666666666652
Algeria,Mathematics,2003-2007,266.0666666666661
Algeria,Mathematics,2008-2012,591.6785714285704
Algeria,Mathematics,2013-2017,813.3912698412689
Algeria,Physics,1973-1977,33.33333333333332
Algeria,Physics,1978-1982,43.083333333333314
Algeria,Physics,1983-1987,82.21666666666653
Algeria,Physics,1988-1992,139.95396825396807
Algeria,Physics,1993-1997,238.83697691197625
Algeria,Physics,1998-2002,378.69231411862876
Algeria,Physics,2003-2007,747.2104303104289
Algeria,Physics,2008-2012,1052.1040663300873
Algeria,Physics,2013-2017,1738.871792600344
Algeria,Professional Fields,1983-1987,1.333333333333333
Algeria,Professional Fields,1988-1992,8.166666666666663
Algeria,Professional Fields,1993-1997,2.833333333333333
Algeria,Professional Fields,1998-2002,5.0
Algeria,Professional Fields,2003-2007,6.83333333333332
Algeria,Professional Fields,2008-2012,27.699999999999978
Algeria,Professional Fields,2013-2017,51.58333333333329
Algeria,Psychology,1973-1977,1.0
Algeria,Psychology,1978-1982,1.33333333333333
Algeria,Psychology,1983-1987,2.0
Algeria,Psychology,1988-1992,2.2
Algeria,Psychology,1993-1997,1.0
Algeria,Psychology,1998-2002,2.0
Algeria,Psychology,2003-2007,0.0144927536231884
Algeria,Psychology,2008-2012,2.749999999999999
Algeria,Psychology,2013-2017,4.929411764705882
Algeria,Social Sciences,1973-1977,8.0
Algeria,Social Sciences,1978-1982,11.833333333333332
Algeria,Social Sciences,1983-1987,9.0
Algeria,Social Sciences,1988-1992,11.75
Algeria,Social Sciences,1993-1997,7.9761904761904745
Algeria,Social Sciences,1998-2002,4.166666666666666
Algeria,Social Sciences,2003-2007,9.033333333333319
Algeria,Social Sciences,2008-2012,21.18333333333332
Algeria,Social Sciences,2013-2017,28.813888888888876
Andorra,Biology,1998-2002,0.5
Andorra,Biology,2003-2007,1.0
Andorra,Biology,2008-2012,1.0
Andorra,Biology,2013-2017,2.283333333333333
Andorra,Biomedical Research,1993-1997,0.5
Andorra,Biomedical Research,1998-2002,0.25
Andorra,Biomedical Research,2013-2017,1.743589743589743
Andorra,Clinical Medicine,1988-1992,1.0
Andorra,Clinical Medicine,1993-1997,0.333333333333333
Andorra,Clinical Medicine,1998-2002,2.2
Andorra,Clinical Medicine,2003-2007,6.183333333333332
Andorra,Clinical Medicine,2008-2012,1.75
Andorra,Clinical Medicine,2013-2017,3.419162826420886
Andorra,Earth and Space,1998-2002,0.5
Andorra,Earth and Space,2003-2007,1.526190476190475
Andorra,Earth and Space,2008-2012,1.2499999999999996
Andorra,Earth and Space,2013-2017,3.2727213962508066
Andorra,Engineering and Technology,1998-2002,0.333333333333333
Andorra,Engineering and Technology,2008-2012,0.5
Andorra,Engineering and Technology,2013-2017,0.5
Andorra,Health,2008-2012,0.5
Andorra,Humanities,2013-2017,1.0
Andorra,Professional Fields,2013-2017,1.271428571428571
Andorra,Psychology,2013-2017,0.5
Andorra,Social Sciences,2008-2012,0.333333333333333
Andorra,Social Sciences,2013-2017,2.991666666666666
Angola,Biology,1973-1977,4.833333333333333
Angola,Biology,1978-1982,1.0
Angola,Biology,1988-1992,0.6111111111111109
Angola,Biology,1993-1997,0.45
Angola,Biology,1998-2002,4.833333333333332
Angola,Biology,2003-2007,5.4999999999999964
Angola,Biology,2008-2012,6.926190476190472
Angola,Biology,2013-2017,14.477849927849899
Angola,Biomedical Research,1973-1977,3.5
Angola,Biomedical Research,1978-1982,0.25
Angola,Biomedical Research,1983-1987,1.166666666666666
Angola,Biomedical Research,1988-1992,0.916666666666666
Angola,Biomedical Research,1993-1997,1.083333333333333
Angola,Biomedical Research,1998-2002,2.249999999999999
Angola,Biomedical Research,2003-2007,2.81111111111111
Angola,Biomedical Research,2008-2012,6.887734487734475
Angola,Biomedical Research,2013-2017,10.828834104491973
Angola,Chemistry,1973-1977,2.5
Angola,Chemistry,1988-1992,0.333333333333333
Angola,Chemistry,1993-1997,0.2
Angola,Chemistry,1998-2002,1.5
Angola,Chemistry,2003-2007,0.75
Angola,Chemistry,2008-2012,2.249999999999998
Angola,Chemistry,2013-2017,1.399999999999999
Angola,Clinical Medicine,1973-1977,4.833333333333332
Angola,Clinical Medicine,1978-1982,1.0
Angola,Clinical Medicine,1983-1987,6.5
Angola,Clinical Medicine,1988-1992,6.583333333333332
Angola,Clinical Medicine,1993-1997,3.283333333333332
Angola,Clinical Medicine,1998-2002,6.092857142857141
Angola,Clinical Medicine,2003-2007,6.61507936507936
Angola,Clinical Medicine,2008-2012,22.69642857142853
Angola,Clinical Medicine,2013-2017,44.42196797424891
Angola,Earth and Space,1973-1977,0.5
Angola,Earth and Space,1983-1987,1.0
Angola,Earth and Space,1988-1992,1.7
Angola,Earth and Space,1993-1997,0.95
Angola,Earth and Space,1998-2002,2.959523809523808
Angola,Earth and Space,2003-2007,1.4999999999999991
Angola,Earth and Space,2008-2012,5.721367521367508
Angola,Earth and Space,2013-2017,10.661219336219318
Angola,Engineering and Technology,1973-1977,1.333333333333333
Angola,Engineering and Technology,1978-1982,1.5
Angola,Engineering and Technology,1988-1992,1.5
Angola,Engineering and Technology,1993-1997,6.25
Angola,Engineering and Technology,1998-2002,6.16666666666666
Angola,Engineering and Technology,2003-2007,2.0333333333333297
Angola,Engineering and Technology,2008-2012,2.533333333333333
Angola,Engineering and Technology,2013-2017,6.292857142857139
Angola,Health,1988-1992,0.5
Angola,Health,1998-2002,0.142857142857142
Angola,Health,2008-2012,2.0095238095238077
Angola,Health,2013-2017,9.181547619047603
Angola,Humanities,2008-2012,1.0
Angola,Mathematics,1973-1977,1.0
Angola,Mathematics,2008-2012,0.333333333333333
Angola,Mathematics,2013-2017,1.0
Angola,Physics,1993-1997,0.5
Angola,Physics,2013-2017,0.41666666666666596
Angola,Professional Fields,2008-2012,1.249999999999999
Angola,Professional Fields,2013-2017,1.9999999999999991
Angola,Psychology,1998-2002,0.142857142857142
Angola,Psychology,2008-2012,0.142857142857142
Angola,Psychology,2013-2017,1.25
Angola,Social Sciences,1998-2002,1.5
Angola,Social Sciences,2008-2012,0.666666666666666
Angola,Social Sciences,2013-2017,9.033333333333324
Antarctica,Biology,1978-1982,2.0
Antarctica,Biology,2003-2007,0.333333333333333
Antarctica,Biomedical Research,1973-1977,2.0
Antarctica,Biomedical Research,1978-1982,3.0
Antarctica,Biomedical Research,1983-1987,1.0
Antarctica,Biomedical Research,1988-1992,0.166666666666666
Antarctica,Chemistry,2008-2012,0.25
Antarctica,Clinical Medicine,1983-1987,0.5
Antarctica,Clinical Medicine,2013-2017,0.142857142857142
Antarctica,Earth and Space,1973-1977,4.0
Antarctica,Earth and Space,1978-1982,0.5
Antarctica,Earth and Space,2008-2012,1.161111111111111
Antarctica,Engineering and Technology,2008-2012,0.5
Antarctica,Health,1998-2002,1.0
Antarctica,Health,2008-2012,0.25
Antarctica,Humanities,2013-2017,0.5
Antarctica,Physics,1988-1992,0.333333333333333
Antarctica,Physics,2013-2017,0.333333333333333
Antigua & Barbuda,Biology,1988-1992,0.5
Antigua & Barbuda,Biology,2003-2007,0.777777777777777
Antigua & Barbuda,Biology,2008-2012,0.1
Antigua & Barbuda,Biology,2013-2017,0.42424242424242387
Antigua & Barbuda,Biomedical Research,2008-2012,0.45
Antigua & Barbuda,Biomedical Research,2013-2017,0.0714285714285714
Antigua & Barbuda,Chemistry,2008-2012,0.2
Antigua & Barbuda,Clinical Medicine,1993-1997,1.0
Antigua & Barbuda,Clinical Medicine,1998-2002,5.0
Antigua & Barbuda,Clinical Medicine,2003-2007,5.966666666666646
Antigua & Barbuda,Clinical Medicine,2008-2012,6.826190476190468
Antigua & Barbuda,Clinical Medicine,2013-2017,3.7196687370600396
Antigua & Barbuda,Earth and Space,2003-2007,0.2
Antigua & Barbuda,Earth and Space,2013-2017,0.0416666666666666
Antigua & Barbuda,Engineering and Technology,2008-2012,0.2
Antigua & Barbuda,Health,2013-2017,0.5
Antigua & Barbuda,Professional Fields,2003-2007,0.333333333333333
Antigua & Barbuda,Professional Fields,2008-2012,1.0
Antigua & Barbuda,Professional Fields,2013-2017,0.5
Antigua & Barbuda,Social Sciences,1993-1997,1.0
Antigua & Barbuda,Social Sciences,2013-2017,1.183333333333332
Argentina,Arts,1973-1977,1.0
Argentina,Arts,1978-1982,3.0
Argentina,Arts,1983-1987,8.0
Argentina,Arts,1988-1992,14.0
Argentina,Arts,1993-1997,8.0
Argentina,Arts,1998-2002,18.58333333333333
Argentina,Arts,2003-2007,14.08333333333333
Argentina,Arts,2008-2012,52.33333333333332
Argentina,Arts,2013-2017,55.383333333333255
Argentina,Biology,1973-1977,202.91666666666663
Argentina,Biology,1978-1982,437.12499999999966
Argentina,Biology,1983-1987,779.5999999999993
Argentina,Biology,1988-1992,1207.383333333332
Argentina,Biology,1993-1997,1816.757857142851
Argentina,Biology,1998-2002,2938.709895659886
