Country,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Bangladesh,0.40855063584015117,0.4905558486997581,0.5335271059243838,0.4758880810852537,0.48650262251858745,0.5430934934092906,0.6327883852917449,0.6429677446327419,0.6291143060730587
Barbados,0.3754989127756403,0.3449485869108636,0.43392492367120195,0.3634280277159707,0.4523000541302903,0.6039976126848565,0.5751562648519877,0.6091990600017267,0.5648714871953071
Belgium,0.7567349269845076,0.7387022051251635,0.7921087844001922,0.805011784913402,0.8057227583335744,0.8490612248157887,0.8819391212991683,0.8450174184027577,0.8064524854794665
Belize,0.0714285714285714,0.11156607906197669,0.19511720984613845,0.09903903924976643,0.16913999098185128,0.20805875703492382,0.20495841666437353,0.2667380694199092,0.2903786829032856
Benin,0.16135940368480595,0.3652311065501961,0.3453746546621722,0.35053480879123,0.30988370193868064,0.3315791494757063,0.41367137129129716,0.38842047360655596,0.43925066901200227
Bermuda,0.3596411720154552,0.2958490067572408,0.22844211460274788,0.24101391319607768,0.2477046637029231,0.21305176563119332,0.20263706926489622,0.19554871873095403,0.2535646227165971
Bhutan,,0.0714285714285714,0.0714285714285714,0.12945873638807026,0.22092068219415673,0.2138392710804793,0.2770694445284738,0.3601311931315977,0.5126219322546697
Bolivia,0.5173593200409412,0.4126044404913689,0.5417254600234069,0.436443583131081,0.4487003100770939,0.46504561161694613,0.33844039087732625,0.44285586664386056,0.49625222583127704
Bosnia & Herzegovina,0.0714285714285714,,,0.2035383569551089,0.4536201875722127,0.5001616601735681,0.6144719744892084,0.5698401709763347,0.7152098773593303
Botswana,0.36593554171835707,0.25249070941611396,0.4864949578012877,0.3399320281329613,0.4256778762886969,0.4649507222518925,0.5246546247227148,0.5794101674306456,0.6429709836458876
Brazil,0.7022945558451018,0.7360466209893508,0.6408106206492783,0.6573573472441003,0.6671993775177059,0.6839522964695943,0.6439840245599263,0.6449466670115114,0.6667699424218707
Brunei,0.1416858637545071,0.0885463102776427,0.33395849741457917,0.27910910661483357,0.505827826323162,0.4755525911078189,0.48990034480845146,0.5263971809462927,0.7071729409180789
Bulgaria,0.4096658435910425,0.4190486445854794,0.4699807945549094,0.5302350613192905,0.5739885548228303,0.5771886514813791,0.547574301924489,0.533651582191172,0.5104518871713388
Burkina Faso,0.35051989365779923,0.284365446645512,0.24973175537224301,0.3460262681157241,0.4759566901185244,0.4400736695692492,0.4216184665382371,0.46595110335383016,0.4253781181926305
Burma,0.3239541932237484,0.31229441729118135,0.2823317482186857,0.26803654003406197,0.27962091902886854,0.4439639159131519,0.40201488208146585,0.4607071683130092,0.5201273685721015
Burundi,0.22638018164680673,0.19689960984652988,0.32883869986242065,0.36214119880921625,0.2809358452850901,0.27870114463799367,0.4490512626908172,0.45205785534748866,0.47378749924707175
Byelarus,0.13715865963106422,,0.0714285714285714,0.32329680845287334,0.3804043259677238,0.40240284082941424,0.384636281456036,0.3986848536217168,0.3851356436269795
Cambodia,0.11062966258447493,,0.12268244285988139,0.17213631327658818,0.1786236978810306,0.23321107499761662,0.31795372356658114,0.44788436301242096,0.43317168012873786
Cameroon,0.47751604684629023,0.4699806255627118,0.4912366347013496,0.5952859389251526,0.5587599463983319,0.5683742161880304,0.5201755968454453,0.6095833774898174,0.6324629808323685
Canada,0.8427010042012875,0.8376091036895636,0.842321939572811,0.8295427131162891,0.8288690487137017,0.8171161896633511,0.8231355231941322,0.823056567540918,0.8046398585350931
Cape Verde,,,0.0714285714285714,0.09447135718713451,0.15213350522142954,0.1011851886326588,0.23986823637139543,0.3274993118187596,0.40868950470798737
Central African Republic,0.23487001463927626,0.2453485497968888,0.2975116602720609,0.2962324023305446,0.349453340097748,0.31516025006289106,0.38986616536208984,0.5350053317727346,0.40900547147431376
Chad,0.16721460565478619,0.1978858570369274,0.14607976517460408,0.1790075330444234,0.24363803491393576,0.29359459004159716,0.3126899032830348,0.3815894607455519,0.4967836811898978
Chile,0.5000155629266758,0.5653515040341323,0.6109798097415768,0.639647399192983,0.6313030119284304,0.6380019227634505,0.6235815083708217,0.6028606233921832,0.6350668573419362
China,0.39302290005594487,0.5601100228736935,0.5571917420109398,0.4776164322742137,0.4375514965447822,0.5082119912609884,0.5163477896694283,0.5525387875831949,0.5910205842843422
Ciskei,,,0.09751566938509681,0.39983640101200635,0.41275577309765854,,,,
Colombia,0.43566347751619183,0.5382751742883813,0.5054969915809857,0.5408861276696968,0.6342791816722977,0.7526129494441425,0.7317755528324441,0.7615045598490018,0.8150003292873944
Comoros,,,,0.10845244253783015,0.21491683080144441,0.13295124786839596,0.25782696038686426,0.24631376341139222,0.3443429380939953
Congo,0.5472652441277008,0.4811274349950685,0.3864167772361967,0.4654418544898148,0.48828481886129127,0.41833755851338295,0.46639046935002615,0.45055382711537384,0.4716043740745942
Cook Islands,0.0714285714285714,0.1932276574640711,0.11159816972574377,0.21399336684365022,0.23528775548777736,0.12206099868846187,0.13420801129021886,0.19131111029832137,0.21749930645050486
Costa Rica,0.29173338096319,0.28376403332868094,0.2852432941130095,0.3172471090716176,0.35160037899902385,0.4218057842397318,0.3947185707084897,0.518316828049135,0.5711872382168863
Crimea,,,,,,,,,0.08431276312570302
Croatia,0.1249210505212276,0.0714285714285714,0.0714285714285714,0.33374178424003254,0.5975412942862377,0.5868483650366794,0.6175264704646788,0.5491067201497558,0.6347578107744059
Cuba,0.41530638913605655,0.4006546975714562,0.47349187528083336,0.5365396554725643,0.5600458617432242,0.5035378885385997,0.553329171341357,0.6512272425960188,0.7137955317846845
Cyprus,0.24087618676795108,0.3177436509300884,0.3012412254781296,0.3544180254285584,0.5273383625510344,0.5491521419055911,0.5590430544586481,0.6137006392780497,0.648639149566054
Czech Republic,,0.1448102622251296,0.10742551871422734,0.21096540572676148,0.6857066547880319,0.7180801317832739,0.7395150256862946,0.7377411831618267,0.7433884547476773
