Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Cuba,0.0,4.482751896236064,0.9869731217818448,0.3462992149390574,1.326462694160632,0.8474330087045879,0.04821069153062683,1.4770574188764,0.8997925094397679,0.17566463255786724,0.10158604380381067,0.14936449736451848,0.2420971114969475,0.7295987300374811
Cyprus,0.0,7.632189944149469,0.3363691514723455,0.0,0.6211185411166341,1.0136213171762676,0.3690572098980406,0.0,1.4349985729221821,0.0,0.0,0.04331055888687348,0.2573993491921874,2.792572177498545
Czechoslovakia,0.21969836431845477,1.1469095679386732,0.841073043306221,2.3842197790279394,0.7625384978631916,1.0725474053455148,0.5263113786784315,0.14767134608911156,0.09006241614254182,0.748026981346639,0.8897919751010923,0.03906078201043134,0.8579746426425913,1.166333543566945
Denmark,0.28991435536039656,0.6932863189201094,1.071159267067838,0.6358751086649966,1.8915412155600946,0.5899722105801211,0.3442319526775616,0.3518438679124965,0.30295559461104526,0.944287745365731,0.8228523771616161,0.0967032896180391,0.34054267786726844,0.43315001652307794
Dominican Republic,0.0,3.097706243238278,0.9876695700108712,0.0,1.2468148238150247,0.0,0.5634982238746591,5.754734794798173,0.0,0.0,0.0,0.0,4.716149329900225,1.8273699499214249
Ecuador,9.5093605501613,4.860546456089561,0.810318184104342,0.09366015458768416,0.8287310875039623,1.0313860507993255,1.1474384438475913,0.0,0.0,0.0,0.3296997794796812,0.0,0.8730351060532547,1.8041363905802454
Egypt,0.4557056673088504,2.250746888926226,0.6569881748059065,2.2875690732955882,0.7722387007083641,0.2800799599126835,1.5577656329506282,0.0382881032823659,0.2478208182682379,0.239061758327865,0.5758151755420385,0.07743616773086204,0.06275611963960653,0.2566705901175927
El Salvador,0.0,3.7180802086179847,0.05690251135611013,0.0,2.4707529305228157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84909704669373,0.6580005505160614
Ethiopia,2.254430671023103,1.6637336079114549,0.7663438279943205,0.05921192395399872,1.8780456404297132,1.4127576178434638,0.14837937308435353,2.272990148702229,0.28847043617703594,1.1263497449294744,0.0,1.4046487496404958,0.5174367691666135,2.0316483808608092
Fiji,0.0,5.845991450936672,0.2734849383006846,0.2626840614715048,0.7023590529478263,1.8748839450576882,0.2925604150698086,1.4938890034170849,2.275114897414855,0.0,0.0,0.9441659869742602,1.0202328855622336,2.3718624495346394
Finland,0.09922167734287216,0.5751075912846506,1.0747083017561296,0.7782898595723614,1.875493085451731,0.45779041681729254,0.7349479020502243,1.0615197916470607,0.19361581789382407,0.5486050161551281,0.5586353943551188,0.24967333851263077,0.4046065611546726,0.3926683601247834
France,0.608671694077918,0.6865757638134489,1.2466286576942038,1.2197420346658707,1.2190723089591515,0.674697202033467,0.5826737120398162,0.07200160462046583,0.47583596190403815,1.3980617726938904,1.1851837486907126,0.12151104954731907,0.23750690941206992,0.5192747435100163
French-Guiana,0.0,5.066395009545387,0.5427624160121278,0.5792520329884464,1.1496186243333177,4.252484024834141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French-Polynesia,0.0,1.7854464340867766,2.089853278520592,0.0,1.841871405401498,2.0814116085408068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,0.0,4.957440278157313,1.062180211980723,1.6194142857741511,0.4820981327849396,0.0,0.0,0.0,0.0,0.0,0.570061554197126,0.0,2.2642587911832788,0.0
Gambia,0.0,0.4240115995113091,0.9841936513524634,0.0,2.9745765156435575,0.8897364644234521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0.0,0.0,0.0,0.0,0.0,18.427430774281277,0.0,0.0,0.0,0.0,2.945318030018484,0.0,0.0,0.0
Germany,0.4096297816072007,0.7368216667971526,0.9041755209078349,1.2456665106288662,1.2042129990666208,0.5695928199328905,1.3550502587781794,0.46427429783281354,0.38199142946450915,1.2958972537740316,0.9759302015594084,0.2626983033805617,0.526222268761616,0.5418214242579545
Greece,0.3399757043962139,0.99235953562336,0.5001737279016675,0.9607429694783135,1.3965167355159287,1.6029069636509647,0.9556462357635926,0.3046884763208684,0.674285789959593,1.2258036466028888,1.0774035201278283,0.11554131343379014,0.24059619931777873,1.0058112804762112
Guadeloupe,0.0,11.692556572591261,0.5813859587246012,0.0,0.11194788102122194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
