discipline,Time_Interval,Papers
Hematology,1978-1982,12068.0
History,1978-1982,12759.0
Human Factors,1978-1982,1703.0
Immunology,1978-1982,39912.0
Industrial Engineering,1978-1982,1027.0
Information Science & Library Science,1978-1982,8081.0
Inorganic & Nuclear Chemistry,1978-1982,21612.0
International Relations,1978-1982,4614.0
Language & Linguistics,1978-1982,8551.0
Law,1978-1982,9294.0
Literature,1978-1982,21201.0
Management,1978-1982,19400.0
Marine Biology & Hydrobiology,1978-1982,17476.0
Materials Science,1978-1982,21846.0
Mechanical Engineering,1978-1982,20744.0
Metals & Metallurgy,1978-1982,30074.0
Meteorology & Atmospheric Science,1978-1982,6485.0
Microbiology,1978-1982,22613.0
Microscopy,1978-1982,2163.0
Miscellaneous Biology,1978-1982,2949.0
Miscellaneous Biomedical Research,1978-1982,6842.0
Miscellaneous Clinical Medicine,1978-1982,4054.0
Miscellaneous Engineering & Technology,1978-1982,4915.0
Miscellaneous Humanities,1978-1982,5785.0
Miscellaneous Mathematics,1978-1982,2293.0
Miscellaneous Physics,1978-1982,1203.0
Miscellaneous Professional Field,1978-1982,3939.0
Miscellaneous Psychology,1978-1982,11235.0
Miscellaneous Social Sciences,1978-1982,5750.0
Miscellaneous Zoology,1978-1982,7423.0
Nephrology,1978-1982,3939.0
Neurology & Neurosurgery,1978-1982,49606.0
Nuclear & Particle Physics,1978-1982,27606.0
Nuclear Technology,1978-1982,12954.0
Nursing,1978-1982,1759.0
Nutrition & Dietetic,1978-1982,9991.0
Obstetrics & Gynecology,1978-1982,13522.0
Oceanography & Limnology,1978-1982,5816.0
Operations Research,1978-1982,2274.0
Ophthalmology,1978-1982,15584.0
Optics,1978-1982,16500.0
Organic Chemistry,1978-1982,43556.0
Orthopedics,1978-1982,7992.0
Otorhinolaryngology,1978-1982,10174.0
Parasitology,1978-1982,6936.0
Pathology,1978-1982,14347.0
Pediatrics,1978-1982,18212.0
Performing Arts,1978-1982,4193.0
Pharmacology,1978-1982,63318.0
Pharmacy,1978-1982,12052.0
Philosophy,1978-1982,7626.0
Physical Chemistry,1978-1982,60464.0
Physiology,1978-1982,18434.0
Planning & Urban Studies,1978-1982,1567.0
Political Science and Public Administration,1978-1982,7656.0
Polymers,1978-1982,22837.0
Probability & Statistics,1978-1982,9109.0
Psychiatry,1978-1982,15387.0
Psychoanalysis,1978-1982,1175.0
Public Health,1978-1982,4031.0
Radiology & Nuclear Medicine,1978-1982,26834.0
Rehabilitation,1978-1982,3631.0
Religion,1978-1982,4989.0
Respiratory System,1978-1982,7714.0
Science studies,1978-1982,1696.0
Social Psychology,1978-1982,7617.0
"Social Sciences, Biomedical",1978-1982,656.0
Social Studies of Medicine,1978-1982,1287.0
Social Work,1978-1982,2161.0
Sociology,1978-1982,8702.0
Solid State Physics,1978-1982,32358.0
Speech-Language Pathology and Audiology,1978-1982,2641.0
Surgery,1978-1982,37815.0
Tropical Medicine,1978-1982,4987.0
Urology,1978-1982,9143.0
Veterinary Medicine,1978-1982,33154.0
Virology,1978-1982,9822.0
Acoustics,1983-1987,7079.0
Addictive Diseases,1983-1987,4141.0
Aerospace Technology,1983-1987,6432.0
Agricult & Food Science,1983-1987,62976.0
Allergy,1983-1987,3678.0
Analytical Chemistry,1983-1987,37577.0
Anatomy & Morphology,1983-1987,4326.0
Anesthesiology,1983-1987,7972.0
Anthropology and Archaeology,1983-1987,7057.0
Applied Chemistry,1983-1987,9027.0
Applied Mathematics,1983-1987,13400.0
Applied Physics,1983-1987,69488.0
Area Studies,1983-1987,6447.0
Arthritis & Rheumatology,1983-1987,6683.0
Astronomy & Astrophysics,1983-1987,29725.0
Behavioral Science & Complementary Psychology,1983-1987,9022.0
Biochemistry & Molecular Biology,1983-1987,132595.0
Biomedical Engineering,1983-1987,9289.0
Biophysics,1983-1987,5741.0
Botany,1983-1987,65372.0
Cancer,1983-1987,41036.0
Cardiovascular System,1983-1987,34730.0
Cellular Biology Cytology & Histology,1983-1987,27374.0
Chemical Engineering,1983-1987,24243.0
Chemical Physics,1983-1987,35118.0
Civil Engineering,1983-1987,8960.0
Clinical Psychology,1983-1987,6849.0
Communication,1983-1987,2339.0
Computers,1983-1987,27651.0
Criminology,1983-1987,2417.0
Dairy & Animal Science,1983-1987,15777.0
Demography,1983-1987,2094.0
Dentistry,1983-1987,16526.0
Dermatology & Venerial Disease,1983-1987,17207.0
Developmental & Child Psychology,1983-1987,7192.0
Earth & planetary Science,1983-1987,35160.0
Ecology,1983-1987,16800.0
Economics,1983-1987,24941.0
Education,1983-1987,17484.0
Electrical Engineering & Electronics,1983-1987,48336.0
Embryology,1983-1987,3484.0
Endocrinology,1983-1987,26335.0
Entomology,1983-1987,19991.0
Environmental & Occupational Health,1983-1987,10816.0
Environmental Science,1983-1987,23580.0
Experimental Psychology,1983-1987,8300.0
Fertility,1983-1987,7225.0
Fine Arts & Architecture,1983-1987,6754.0
Fluids & Plasmas,1983-1987,6911.0
Gastroenterology,1983-1987,15355.0
General & Internal Medicine,1983-1987,127537.0
General Biology,1983-1987,5352.0
General Biomedical Research,1983-1987,71596.0
General Chemistry,1983-1987,87963.0
General Engineering,1983-1987,4187.0
General Mathematics,1983-1987,45433.0
General Physics,1983-1987,98846.0
General Psychology,1983-1987,6731.0
General Social Sciences,1983-1987,8009.0
General Zoology,1983-1987,14864.0
Genetics & Heredity,1983-1987,27774.0
Geography,1983-1987,6676.0
Geology,1983-1987,22436.0
Geriatrics,1983-1987,3559.0
Geriatrics & Gerontology,1983-1987,2119.0
Health Policy & Services,1983-1987,3613.0
Hematology,1983-1987,16582.0
History,1983-1987,15979.0
Human Factors,1983-1987,2168.0
Immunology,1983-1987,57030.0
Industrial Engineering,1983-1987,1488.0
Information Science & Library Science,1983-1987,8478.0
Inorganic & Nuclear Chemistry,1983-1987,25302.0
International Relations,1983-1987,4813.0
Language & Linguistics,1983-1987,11196.0
Law,1983-1987,10109.0
Literature,1983-1987,22033.0
Management,1983-1987,23763.0
